Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note,Anomaly
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1973,1973,100 g/ha,45067.0,A,Official figure,,0.18416666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1973,1973,100 g/ha,43477.0,A,Official figure,,0.18416666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1974,1974,100 g/ha,45844.0,A,Official figure,,0.06166666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1974,1974,100 g/ha,46257.0,A,Official figure,,0.06166666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1975,1975,100 g/ha,38734.0,A,Official figure,,0.5783333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1975,1975,100 g/ha,43188.0,A,Official figure,,0.5783333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1976,1976,100 g/ha,37722.0,A,Official figure,,-0.16833333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1976,1976,100 g/ha,39344.0,A,Official figure,,-0.16833333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1977,1977,100 g/ha,42303.0,A,Official figure,,-0.09416666666666666
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1977,1977,100 g/ha,43553.0,A,Official figure,,-0.09416666666666666
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1978,1978,100 g/ha,50323.0,A,Official figure,,-0.25
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1978,1978,100 g/ha,48869.0,A,Official figure,,-0.25
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1979,1979,100 g/ha,47820.0,A,Official figure,,-0.41583333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1979,1979,100 g/ha,47776.0,A,Official figure,,-0.41583333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1980,1980,100 g/ha,51810.0,A,Official figure,,-0.30333333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1980,1980,100 g/ha,47389.0,A,Official figure,,-0.30333333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1981,1981,100 g/ha,50110.0,A,Official figure,,-0.13499999999999998
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1981,1981,100 g/ha,48797.0,A,Official figure,,-0.13499999999999998
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1982,1982,100 g/ha,52360.0,A,Official figure,,-0.003333333333333336
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1982,1982,100 g/ha,52433.0,A,Official figure,,-0.003333333333333336
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1983,1983,100 g/ha,51274.0,A,Official figure,,0.6291666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1983,1983,100 g/ha,52084.0,A,Official figure,,0.6291666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1984,1984,100 g/ha,64597.0,A,Official figure,,0.1366666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1984,1984,100 g/ha,59331.0,A,Official figure,,0.1366666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1985,1985,100 g/ha,59999.0,A,Official figure,,-0.585
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1985,1985,100 g/ha,58295.0,A,Official figure,,-0.585
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1986,1986,100 g/ha,54487.0,A,Official figure,,-0.19499999999999998
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1986,1986,100 g/ha,60919.0,A,Official figure,,-0.19499999999999998
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1987,1987,100 g/ha,55584.0,A,Official figure,,-0.6183333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1987,1987,100 g/ha,57757.0,A,Official figure,,-0.6183333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1988,1988,100 g/ha,61509.0,A,Official figure,,0.305
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1988,1988,100 g/ha,62266.0,A,Official figure,,0.305
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1989,1989,100 g/ha,63480.0,A,Official figure,,0.7716666666666666
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1989,1989,100 g/ha,56815.0,A,Official figure,,0.7716666666666666
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1990,1990,100 g/ha,64787.0,A,Official figure,,1.0525
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1990,1990,100 g/ha,62734.0,A,Official figure,,1.0525
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1991,1991,100 g/ha,66764.0,A,Official figure,,0.395
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1991,1991,100 g/ha,67712.0,A,Official figure,,0.395
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1992,1992,100 g/ha,63992.0,A,Official figure,,0.465
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1992,1992,100 g/ha,59811.0,A,Official figure,,0.465
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1993,1993,100 g/ha,64739.0,A,Official figure,,0.2675
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1993,1993,100 g/ha,65841.0,A,Official figure,,0.2675
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1994,1994,100 g/ha,66685.0,A,Official figure,,0.33
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1994,1994,100 g/ha,67684.0,A,Official figure,,0.33
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1995,1995,100 g/ha,65079.0,A,Official figure,,0.9550000000000001
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1995,1995,100 g/ha,68882.0,A,Official figure,,0.9550000000000001
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1996,1996,100 g/ha,71361.0,A,Official figure,,-0.07833333333333332
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1996,1996,100 g/ha,72932.0,A,Official figure,,-0.07833333333333332
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1997,1997,100 g/ha,66288.0,A,Official figure,,0.30083333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1997,1997,100 g/ha,72902.0,A,Official figure,,0.30083333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1998,1998,100 g/ha,76063.0,A,Official figure,,0.7566666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1998,1998,100 g/ha,72035.0,A,Official figure,,0.7566666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,1999,1999,100 g/ha,72395.0,A,Official figure,,0.7033333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,1999,1999,100 g/ha,75411.0,A,Official figure,,0.7033333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2000,2000,100 g/ha,71175.0,A,Official figure,,1.1158333333333335
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2000,2000,100 g/ha,72826.0,A,Official figure,,1.1158333333333335
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2001,2001,100 g/ha,66169.0,A,Official figure,,1.2758333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2001,2001,100 g/ha,78827.0,A,Official figure,,1.2758333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2002,2002,100 g/ha,74455.0,A,Official figure,,1.0733333333333335
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2002,2002,100 g/ha,69056.0,A,Official figure,,1.0733333333333335
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2003,2003,100 g/ha,62500.0,A,Official figure,,0.6783333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2003,2003,100 g/ha,64985.0,A,Official figure,,0.6783333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2004,2004,100 g/ha,75788.0,A,Official figure,,0.9016666666666667
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2004,2004,100 g/ha,81716.0,A,Official figure,,0.9016666666666667
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2005,2005,100 g/ha,69887.0,A,Official figure,,0.7916666666666666
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2005,2005,100 g/ha,74651.0,A,Official figure,,0.7916666666666666
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2006,2006,100 g/ha,67414.0,A,Official figure,,0.6808333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2006,2006,100 g/ha,72007.0,A,Official figure,,0.6808333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2007,2007,100 g/ha,62542.0,A,Official figure,,1.7308333333333332
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2007,2007,100 g/ha,69611.0,A,Official figure,,1.7308333333333332
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2008,2008,100 g/ha,71018.0,A,Official figure,,1.2458333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2008,2008,100 g/ha,80873.0,A,Official figure,,1.2458333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2009,2009,100 g/ha,74478.0,A,Official figure,,1.0183333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2009,2009,100 g/ha,78091.0,A,Official figure,,1.0183333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2010,2010,100 g/ha,70405.0,A,Official figure,,0.8333333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2010,2010,100 g/ha,72120.0,A,Official figure,,0.8333333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2011,2011,100 g/ha,66563.0,A,Official figure,,0.8658333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2011,2011,100 g/ha,70139.0,A,Official figure,,0.8658333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2012,2012,100 g/ha,71512.0,A,Official figure,,1.1208333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2012,2012,100 g/ha,73312.0,A,Official figure,,1.1208333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2013,2013,100 g/ha,72656.0,A,Official figure,,0.9975
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2013,2013,100 g/ha,79979.0,A,Official figure,,0.9975
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2014,2014,100 g/ha,73530.0,A,Official figure,,1.6308333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2014,2014,100 g/ha,86296.0,A,Official figure,,1.6308333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2015,2015,100 g/ha,78008.0,A,Official figure,,1.6158333333333335
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2015,2015,100 g/ha,80877.0,A,Official figure,,1.6158333333333335
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2016,2016,100 g/ha,52896.0,A,Official figure,,1.755
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2016,2016,100 g/ha,76409.0,A,Official figure,,1.755
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2017,2017,100 g/ha,72538.0,A,Official figure,,1.2791666666666666
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2017,2017,100 g/ha,76443.0,A,Official figure,,1.2791666666666666
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2018,2018,100 g/ha,67680.0,A,Official figure,,1.6458333333333333
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2018,2018,100 g/ha,66737.0,A,Official figure,,1.6458333333333333
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2019,2019,100 g/ha,77428.0,A,Official figure,,1.86
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2019,2019,100 g/ha,73964.0,A,Official figure,,1.86
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2020,2020,100 g/ha,66776.0,A,Official figure,,2.1058333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2020,2020,100 g/ha,78195.0,A,Official figure,,2.1058333333333334
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2021,2021,100 g/ha,69284.0,A,Official figure,,1.6325
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2021,2021,100 g/ha,73015.0,A,Official figure,,1.6325
QCL,Crops and livestock products,250,France,5419,Yield,111.0,Wheat,2022,2022,100 g/ha,69967.0,A,Official figure,,1.5983333333333334
QCL,Crops and livestock products,276,Germany,5419,Yield,111.0,Wheat,2022,2022,100 g/ha,75773.0,A,Official figure,,1.5983333333333334
